Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
1/1/2000,15.5207,2.0562,7.6157,13.7664,2.451,1.7779,0.2189,0.4682,0.2052,0.0765,1.4283,0.3861,5.3914,18.7495,10.726,1.5019,3.4008,1.7939,5.1145,11.2929,3.8255,3.3696,6.007,4.8814,10.088,13.0179,7.3358,26.2603,14.6016,12.1939,36.1569,98.1035,43.6763,96.6875,97.1394,318.2455,368.4181,323.2961,324.8598,323.9136,321.3785,319.6777,355.3214,364.7529,391.6238,406.3067,423.0357,430.2629,432.6191,485.661,495.3953,524.8608,527.2831,532.1889,536.5156,541.8843,549.605,573.783
1/2/2000,9.0685,2.3218,1.4091,9.2916,1.0336,1.5368,0.1866,0.2925,0.263,0.0859,1.0304,0.3842,3.4041,9.306,1.7564,0.5299,3.1804,1.2506,0.6932,1.8345,3.4867,2.1915,1.0907,3.6983,5.8442,1.6878,5.3979,10.4342,1.9833,6.1733,11.3004,95.3325,13.1507,97.6377,98.2464,270.1639,356.9676,342.8049,326.5717,325.3918,323.5991,322.2864,347.839,355.4414,382.5744,392.64,398.329,403.5948,403.9344,419.6042,420.5012,430.0022,431.6061,431.6744,432.1586,432.4794,434.8819,437.1742
1/3/2000,89.6963,23.654,12.381,93.8624,9.9907,15.5459,1.8699,2.9582,2.6848,0.8783,10.3283,3.8698,34.1665,6.3318,14.8801,5.1656,32.0067,12.5016,5.6186,15.5002,35.0551,21.8323,9.4672,36.6255,58.172,12.5188,53.339,100.272,15.1436,58.4131,107.2642,91.0606,124.1414,95.8058,102.1431,210.8798,348.1052,368.239,324.0796,333.6028,325.4328,324.668,341.6255,352.8301,372.9014,403.1271,454.5208,504.212,505.3948,650.2836,654.2094,739.5522,755.4327,753.837,756.7074,756.1733,777.4056,786.3411
1/4/2000,11.2506,1.7871,4.3162,8.3927,1.6727,1.3624,0.1935,0.2589,0.1928,0.0623,1.0604,0.3634,3.4423,6.8098,6.3158,0.7908,3.028,1.3389,2.9088,6.687,3.4186,2.4359,3.5163,4.4906,6.6592,8.79,6.8403,17.578,10.0982,12.1124,22.6209,89.875,27.2135,91.9902,92.3515,174.6276,329.8404,389.2697,320.665,334.6392,331.3602,327.642,336.5016,346.5197,365.6387,388.423,399.6562,405.5955,407.5924,441.1724,447.6562,468.2152,469.9428,473.2608,476.2762,479.9673,485.7378,502.788
1/5/2000,22.2276,5.8285,3.1434,23.1668,2.4869,3.8354,0.4623,0.7298,0.6613,0.2164,2.5525,0.9556,8.4425,5.5939,3.8061,1.284,7.9059,3.0919,1.4517,3.9689,8.6572,5.4036,2.4108,9.0726,14.3994,3.3066,13.2146,24.9894,3.973,14.6008,26.7941,81.4946,31.0379,89.7804,91.3493,172.5489,295.1258,397.0201,321.6214,326.2903,334.1567,332.9656,332.633,338.055,358.283,370.5992,383.6792,396.2388,396.6974,433.1739,434.4681,456.1488,460.1036,459.8815,460.6746,460.7662,466.2022,469.2689
1/6/2000,6.0461,1.3043,1.506,5.4967,0.7761,0.9028,0.116,0.1717,0.1453,0.0473,0.6388,0.2311,2.0962,3.5753,2.0823,0.382,1.9232,0.7871,0.9112,2.195,2.1327,1.3995,1.2008,2.4516,3.7668,2.5924,3.6464,7.9782,3.0039,5.1054,9.4402,58.1807,11.1691,81.8767,82.2877,155.9815,249.0548,391.0638,330.8225,324.4461,328.5781,332.405,331.7467,334.318,350.1229,360.8365,365.6114,369.0701,369.6679,383.2667,385.0996,393.3867,394.4079,395.1523,396.06,397.0023,399.2057,403.8943
1/7/2000,8.3403,2.1498,1.2649,8.5843,0.9462,1.4209,0.1722,0.2702,0.2436,0.0795,0.9507,0.3546,3.1425,2.0517,1.5659,0.486,2.937,1.1529,0.6125,1.6359,3.2192,2.0187,0.9758,3.402,5.3804,1.4635,4.9637,9.5313,1.745,5.6282,10.3326,40.1842,12.0068,61.5232,62.2375,129.4438,207.578,378.1092,347.828,329.6399,325.3276,327.4393,331.5328,332.6077,341.9472,350.2755,355.4492,360.286,360.5798,374.8189,375.5755,384.1228,385.6049,385.6861,386.0988,386.2603,388.4547,390.2566
1/8/2000,13.1041,3.3635,2.0213,13.4476,1.4917,2.2251,0.2701,0.4233,0.3809,0.1247,1.4905,0.556,4.9248,1.6242,2.5155,0.7653,4.6017,1.8087,0.9892,2.6286,5.0476,3.1666,1.5615,5.3448,8.4511,2.3823,7.8062,15.0349,2.84,8.905,16.3712,39.1017,19.0277,43.4435,44.3979,108.5201,181.9666,364.6282,367.7007,344.1754,328.7595,326.2573,332.6889,333.0039,337.0976,344.9195,352.8861,360.2267,360.5896,383.0009,384.12,397.4295,399.74,399.8015,400.4413,400.7084,404.0804,406.7398
1/9/2000,9.478,2.3411,1.6737,9.4656,1.1115,1.5638,0.1922,0.2975,0.2643,0.0864,1.06,0.3927,3.4976,1.6453,2.159,0.5642,3.2543,1.2908,0.883,2.2631,3.5782,2.2681,1.3065,3.859,6.0614,2.2747,5.661,11.2588,2.681,6.8018,12.5306,34.3152,14.6416,39.0337,39.6525,89.4829,164.4372,350.8475,383.2886,363.0642,340.7005,332.3821,333.9977,334.1969,335.1036,341.0018,347.084,352.3308,352.7107,370.0686,371.2834,381.6334,383.2832,383.5791,384.2453,384.6907,387.3508,390.448
1/10/2000,7.1453,1.777,1.2337,7.1684,0.8335,1.1847,0.1452,0.2254,0.2006,0.0657,0.8016,0.2972,2.6458,1.5548,1.5828,0.4241,2.4636,0.9751,0.6439,1.6585,2.7065,1.7128,0.9619,2.9107,4.5767,1.6431,4.2645,8.4369,1.9376,5.0856,9.3506,23.9948,10.9176,34.7437,35.2549,73.3963,144.8031,331.8494,389.4691,379.4308,358.1299,346.2003,333.5397,334.8025,334.7809,338.4019,342.9189,346.8482,347.1066,360.0159,360.8612,368.5463,369.7868,369.9733,370.4366,370.7328,372.6961,374.8541
